num_of_detection,sum_of_iou,sum_of_lev,sum_boundingbox_conf,sum_ocr_conf
0,0.804537998906506,55,0.994539797306061,0.920729279518127
3,5.55591348676657,3,6.98116362094879,6.68378669023514
6,4.9042509436846,9,5.98341608047485,5.85278785228729
0,0,63,0,0
1,0.827775867995875,54,0.957475006580353,0.870301067829132
0,0,63,0,0
0,5.63511439089395,7,6.99651062488556,6.70115572214127
1,0.77166392092257,54,0.998584747314453,0.987620055675507
2,4.86252792573377,13,5.9948365688324,5.76356679201126
0,4.0227342472947,23,4.99606394767761,4.9702073931694
0,0,63,0,0
0,4.74222297070125,15,5.95175528526306,5.9034389257431
2,3.15311572467188,29,3.99180889129639,3.86122190952301
2,2.37815970695033,37,2.99729037284851,2.84529238939285
6,4.77205799599787,9,5.98957508802414,5.70466405153275
0,0,63,0,0
0,1.63866381293495,47,1.99122661352158,1.9803067445755
0,1.55515571612415,47,1.95330077409744,1.92653006315231
6,4.762245536597,9,5.97248029708862,5.71548867225647
0,2.35797836145894,39,2.99010986089706,2.86457407474518
6,4.80665673297545,9,5.99274623394012,5.8327841758728
4,3.25442822487479,27,3.93060100078583,3.940425157547
4,3.21453910939051,27,3.99295842647552,3.76912915706635
0,4.72567534617976,15,5.9939032793045,5.87748801708221
6,4.66809428289104,9,5.98657792806625,5.74151241779327
2,1.57312742232456,45,1.99827569723129,1.93586868047714
2,5.65098866282248,5,6.99001520872116,6.63480943441391
7,5.5948200807367,0,6.99092257022858,6.58424073457718
7,5.6486886888028,0,6.99219113588333,6.72909390926361
0,0,63,0,0
6,4.71866211578265,9,5.97952449321747,5.905837059021
0,0,63,0,0
3,5.6847489337069,4,6.99073946475983,6.58228725194931
0,0,63,0,0
0,5.26620110576278,7,6.95234531164169,6.6102243065834
6,4.98962882213818,9,5.99296230077744,5.81690633296967
0,1.60915374391441,47,1.99378246068954,1.88904762268066
0,1.56125230188992,47,1.98215591907501,1.96209985017777
6,4.75648358317813,9,5.99011272192001,5.82371670007706
2,1.67371839004974,45,1.99274569749832,1.97373110055923
0,0,63,0,0
1,3.03918493087799,30,3.98501306772232,3.69682949781418
0,0.785414165666267,55,0.99210125207901,0.860975801944733
0,0.823952095808383,55,0.997000515460968,0.969268918037415
0,2.41761189767487,40,2.99778205156326,2.8368324637413
2,2.36585254224321,36,2.99385207891464,2.97226178646088
2,1.57153970114293,45,1.91003882884979,1.92061996459961
4,3.94551688790926,19,4.99438506364822,4.74140077829361
7,5.39768774905352,0,6.86754697561264,6.82491457462311
4,4.82572748033289,11,5.996158182621,5.72792828083038
0,0,63,0,0
0,5.53380806475912,7,6.99704152345657,6.65951460599899
7,5.54361842653222,0,6.80828011035919,6.57455271482468
0,0,63,0,0
1,0.79143821172501,54,0.999000728130341,0.991109549999237
0,5.40141922190931,7,6.98970800638199,6.56186830997467
1,2.32860785636696,38,2.99803423881531,2.97157084941864
1,0.795121951219512,54,0.938831627368927,0.819097101688385
0,5.7248635602175,7,6.99830234050751,6.89420849084854
7,5.65108032271925,0,6.99496430158615,6.78321892023087
6,4.70664424080031,9,5.9700094461441,5.87114506959915
0,4.85485206820468,15,5.99757885932922,5.8850502371788
0,4.79937002051647,15,5.99377739429474,5.89669179916382
7,5.6719489086115,0,6.98089814186096,6.70979827642441
2,1.62496112793639,45,1.99519377946854,1.93975567817688
5,5.76305218002454,2,6.99128955602646,6.67316782474518
3,2.29193551018792,36,2.99665558338165,2.76839631795883
4,5.45378730684976,3,6.98400104045868,6.63862246274948
0,0,63,0,0
5,4.87678278727963,10,5.99561792612076,5.77105337381363
6,5.65750275018946,2,6.99574041366577,6.91238623857498
2,2.26675577902622,36,2.9860160946846,2.82463675737381
0,0,63,0,0
0,5.58038949027093,7,6.9874170422554,6.90985006093979
5,4.7184810175148,9,5.78083992004395,5.70279198884964
0,5.72019264646672,7,6.99556970596314,6.71354502439499
0,5.59363912186089,7,6.90245193243027,6.91079586744309
4,4.06105693587839,19,4.98894721269608,4.78574085235596
5,4.73720535108768,10,5.99558079242706,5.72979122400284
4,3.18076807164466,27,3.99046140909195,3.89082282781601
